,,,,,,,,,,,,,,,,,,,,,,,,,,
[CenturionBay] 제품 TestCase ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Priority,,,,,,,,,,,,,,,,,,,
JIRA 컴포넌트,1 Depth,2 Depth,3 Depth,4 Depth,5 Depth,6 Depth,Priority,Expected Result,,,,,,비고,,,,,,,,,,,,
,,,,,,,,,Result,담당자,Date,Test Version,BTS ID,,,,,,,,,,,,,
제품,제품 관리, 간편 메뉴 (최상단 헤더),[제품] 선택,[제품 관리] 선택,,,자동화,제품 관리 화면 진입됨,,,,,,,,,,,,,,,,,,
,,검색 영역,구분 선택 드롭다운 선택,,,,P3,"'전체' 옵션 포함하여 등록된 구분 옵션 전체 노출됨
-옵션 목록 내 텍스트 모두 표시",,,,,,,,,,,,,,,,,,
,,,,검색,,,P2,"구분명 입력하여 검색됨
-국문,영문 모두 가능 (국문정보만 표시)",,,,,,,,,,,,,,,,,,
,,,,옵션 선택,,,P2,"다중 선택 가능함
 - 리스트 강조
 - 선택 옵션 우측에 선택 아이콘[✓] 노출됨
 - 선택한 옵션명으로 반영되며 영역 초과 시 말줄임 표시됨",,,,,,,,,,,,,,,,,,
,,,,,다중 선택,,P3,선택한 옵션명 전체 노출되며 영역 초과 시 말줄임 표시됨,,,,,,,,,,,,,,,,,,
,,,종류 선택 드롭다운 선택,,,,P3,"'전체' 옵션 포함하여 등록된 종류 옵션 전체 노출됨
-옵션 목록 내 텍스트 모두 표시",,,,,,,,,,,,,,,,,,
,,,,검색,,,P2,"종류명 입력하여 검색됨
-국문,영문 모두 가능 (국문정보만 표시)",,,,,,,,,,,,,,,,,,
,,,,옵션 선택,,,P2,"다중 선택 가능함
 - 리스트 강조
 - 선택 옵션 우측에 선택 아이콘[✓] 노출됨
 - 선택한 옵션명으로 반영되며 영역 초과 시 말줄임 표시됨",,,,,,,,,,,,,,,,,,
,,,,,다중 선택,,P3,선택한 옵션명 전체 노출되며 영역 초과 시 말줄임 표시됨,,,,,,,,,,,,,,,,,,
,,,제조사 선택 드롭다운 선택,,,,P3,"'전체' 옵션 포함하여 등록된 제조사 옵션 전체 노출됨
-옵션 목록 내 텍스트 모두 표시",,,,,,,,,,,,,,,,,,
,,,,검색,,,P2,"제조사명 입력하여 검색됨
-국문,영문 모두 가능 (국문정보만 표시)",,,,,,,,,,,,,,,,,,
,,,,옵션 선택,,,P2,"다중 선택 가능함
 - 리스트 강조
 - 선택 옵션 우측에 선택 아이콘[✓] 노출됨
 - 선택한 옵션명으로 반영되며 영역 초과 시 말줄임 표시됨",,,,,,,,,,,,,,,,,,
,,,,,다중 선택,,P3,선택한 옵션명 전체 노출되며 영역 초과 시 말줄임 표시됨,,,,,,,,,,,,,,,,,,
,,,제품명 검색란,입력,,,자동화,입력값 노출됨,,,,,,,,,,,,,,,,,,
,,, [검색] 버튼 선택,,,,자동화,설정한 검색 옵션에 해당하는 제품 목록 노출됨,,,,,,,,,,,,,,,,,,
,,,[초기화] 버튼 선택,,,,P1,설정한 검색 옵션 초기화되며 제품 전체 목록 노출됨,,,,,,,,,,,,,,,,,,
,,[엑셀 다운로드] 버튼 선택,,,,,P1,등록된 제품 목록이 엑셀 파일로 다운로드됨,,,,,,,,,,,,,,,,,,
,,[제품 등록] 버튼 선택,,,,,자동화,제품 등록 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,리스트영역,정렬 기준,,,,P3,"우선순위 기준 '가나다 - , ABC - ' 오름차순으로 정렬
 - 우선순위 : 구분 → 종류 → 제품명 ",,,,,,,,,,,,,,,,,,
,,,페이지네이션,,,,P3,한 페이지당 제품 8개 노출됨 ,,,,,,,,,,,,,,,,,,
,,,[일괄수정] 버튼 선택,선택된 체크박스가 없는 경우,,,P3,"토스트팝업 노출됨
 - 팝업 문구 : ! 수정할 제품을 선택해주세요.",,,,,,,,,,,,,,,,,,
,,,,선택된 체크박스가 있는 경우,,,자동화,선택한 제품들의 일괄 수정 화면으로 이동됨 ,,,,,,,,,,,,,,,,,,
,,,[수정] 버튼 선택,,,,P2,해당 제품의 제품 수정 화면으로 이동됨 ,,,,,,,,,,,,,,,,,,
,,, [일괄삭제] 버튼 선택,선택된 체크박스가 없는 경우,,,P3,"토스트팝업 노출됨
 - 팝업 문구 : ! 삭제할 제품을 선택해주세요.",,,,,,,,,,,,,,,,,,
,,,,선택된 체크박스가 있는 경우,선택된 체크박스가 1개인 경우,,자동화,"제품 삭제 확인 Alert 노출됨
- 팝업 타이틀 : 제품을 삭제하시겠습니까?
- 팝업 문구 : 해당 제품은 영구 삭제되며, 복구할 수 없습니다.
- 버튼 구성 : [취소] / [삭제]",,,,,,,,,,,,,,,,,,
,,,,,,[취소] 버튼 선택,P2,제품 삭제 확인 Alert 닫히며 제품 목록 화면 유지됨 ,,,,,,,,,,,,,,,,,,
,,,,,,[삭제] 버튼 선택,자동화,"제품 삭제 확인 Alert 닫히며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ 제품 삭제가 완료되었습니다. ",,,,,,,,,,,,,,,,,,
,,,,,,,자동화,"제품 관리, 재고 관리 목록에서 해당 제품 삭제됨",,,,,,,,,,,,,,,,,,
,,,,,선택된 체크박스가 n개인 경우,,자동화,"제품 삭제 확인 Alert 노출됨
- 팝업 타이틀 : n개의 제품을 삭제하시겠습니까?
- 팝업 문구 : 해당 제품은 영구 삭제되며, 복구할 수 없습니다.
- 버튼 구성 : [취소] / [삭제]",,,,,,,,,,,,,,,,,,
,,,,,,[취소] 버튼 선택,P2,제품 삭제 확인 Alert 닫히며 제품 목록 화면 유지됨 ,,,,,,,,,,,,,,,,,,
,,,,,,[삭제] 버튼 선택,자동화,"제품 삭제 확인 Alert 닫히며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ n개의 제품 삭제가 완료되었습니다. ",,,,,,,,,,,,,,,,,,
,,,,,,,자동화,"제품 관리, 재고 관리 목록에서 해당 제품 삭제됨",,,,,,,,,,,,,,,,,,
,,,,,현재 발주 중인 제품이 포함된 경우,,P2,"사용 중인 제품 삭제 불가 토스트팝업 노출되며 화면 유지됨
 - 팝업 문구 : 현재 발주 중인 제품은 삭제할 수 없습니다.",,,,,,,,,,,,,,,,,,
,,,,,재고가 남아있는 제품이 포함된 경우,,P2,"잔여 재고 삭제 불가 토스트팝업 노출되며 화면 유지됨
 - 팝업 문구 : 해당 제품은 재고가 남아 있어 삭제할 수 없습니다.",,,,,,,,,,,,,,,,,,
,,,[삭제] 버튼 선택,,,,자동화,"제품 삭제 확인 Alert 노출됨
- 팝업 타이틀 : 제품을 삭제하시겠습니까?
- 팝업 문구 : 해당 제품은 영구 삭제되며, 복구할 수 없습니다.
- 버튼 구성 : [취소] / [삭제]",,,,,,,,,,,,,,,,,,
,,,,[취소] 버튼 선택,,,P1,제품 삭제 확인 Alert 닫히며 제품 수정 화면 유지됨 ,,,,,,,,,,,,,,,,,,
,,,,[삭제] 버튼 선택,,,자동화,"제품 삭제 확인 Alert 닫히며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ 제품 삭제가 완료되었습니다. ",,,,,,,,,,,,,,,,,,
,,,,,,,자동화,"제품 관리, 재고 관리 목록에서 해당 제품 삭제됨",,,,,,,,,,,,,,,,,,
,,,,,현재 발주 중인 제품인 경우,,P2,"사용 중인 제품 삭제 불가 토스트팝업 노출되며 화면 유지됨
 - 팝업 문구 : 현재 발주 중인 제품은 삭제할 수 없습니다.",,,,,,,,,,,,,,,,,,
,,,,,재고가 남아있는 제품인 경우,,P2,"잔여 재고 삭제 불가 토스트팝업 노출되며 화면 유지됨
 - 팝업 문구 : 해당 제품은 재고가 남아 있어 삭제할 수 없습니다.",,,,,,,,,,,,,,,,,,
,,제품 등록,진입 후 변경 사항이 없는 경우,[뒤로가기 ←] 버튼 선택,,,P2,"제품 관리 화면으로 이동됨
-화면 내부/외부 뒤로가기 공통",,,,,,,,,,,,,,,,,,
,,,,페이지 이동,,,P3,선택한 화면으로 이동됨 ,,,,,,,,,,,,,,,,,,
,,,진입 후 변경 사항이 있는 경우,[뒤로가기 ←] 버튼 선택,,,P2,"변경 사항 저장 확인 Alert 노출됨
- 팝업 타이틀 : 변경 사항을 저장하지 않으시겠습니까?
- 팝업 문구 : 이동 시, 수정한 내용이 저장되지 않습니다.
- 버튼 구성 : [취소] / [확인]",,,,,,,,,,,,,,,,,,
,,,,페이지 이동,,,P2,"변경 사항 저장 확인 Alert 노출됨
- 팝업 타이틀 : 변경 사항을 저장하지 않으시겠습니까?
- 팝업 문구 : 이동 시, 수정한 내용이 저장되지 않습니다.
- 버튼 구성 : [취소] / [확인]",,,,,,,,,,,,,,,,,,
,,,,변경 사항 저장 확인 Alert,[취소] 버튼 선택,,P1,변경 사항 저장 확인 Alert 닫히며 카테고리 관리 화면 유지됨 ,,,,,,,,,,,,,,,,,,
,,,,,[확인] 버튼 선택,,P1,추가/수정사항이 저장되지 않고 변경 사항 저장 확인 Alert 닫히며 화면 이동됨 ,,,,,,,,,,,,,,,,,,
,,,제품 정보 입력 영역,타이틀 영역,,,P3,"타이틀과 안내문구 노출됨
 - '제품 01' 노출됨 
 - 안내문구 : '*표시는 필수 입력 항목입니다.'",,,,,,,,,,,,,,,,,,
,,,,[삭제] 버튼 선택,제품 정보 입력 영역이 1개인 경우,,P1,"토스트팝업 노출됨
 - 팝업 문구 : ! 최소 1개의 제품을 등록해야 합니다.",,,,,,,,,,,,,,,,,,
,,,,,제품 정보 입력 영역이 2개 이상인 경우,,P1,해당 제품 정보 입력 영역 삭제됨 ,,,,,,,,,,,,,,,,,,
,,,,아코디언 [∧/∨] 버튼 선택,,,P3,제품 정보 입력 영역 접힘/펼쳐짐,, ,,,,,,,,,,,,,,,,
,,,,필수 입력값,,,P3,"구분, 종류, 제품명, 제조사, 단가(원), 안전 재고, 자동 발주 수량, 업체",,,,,,,,,,,,,,,,,,
,,,,구분* 드롭다운 선택,,,자동화,등록된 구분 옵션 전체 노출됨,,,,,,,,,,,,,,,,,,
,,,,,검색,,P2,구분명 입력하여 검색됨,,,,,,,,,,,,,,,,,,
,,,,,옵션 선택,,자동화,선택한 옵션명으로 반영됨,,,,,,,,,,,,,,,,,,
,,,,종류* 드롭다운 선택,,,자동화,등록된 종류 옵션 전체 노출됨,,,,,,,,,,,,,,,,,,
,,,,,검색,,P2,종류명 입력하여 검색됨,,,,,,,,,,,,,,,,,,
,,,,,옵션 선택,,자동화,선택한 옵션명으로 반영됨,,,,,,,,,,,,,,,,,,
,,,,제품명* 입력란,,,P3,"제품명 입력값 노출됨
 - 입력값에 제약 없으며 1자 ~ 100자 글자수 허용",,,,,,,,,,,,,,,,,,
,,,,제품명(영문) 입력란,,,P3,"제품명(영문) 입력값 노출됨
 - 영문, 숫자, 특수문자 입력 가능하며 1자 ~ 100자 글자수 허용",,,,,,,,,,,,,,,,,,
,,,,제조사* 드롭다운 선택,,,자동화,등록된 제조사 옵션 전체 노출됨,,,,,,,,,,,,,,,,,,
,,,,,검색,,P2,제조사명 입력하여 검색됨,,,,,,,,,,,,,,,,,,
,,,,,옵션 선택,,자동화,선택한 옵션명으로 반영됨,,,,,,,,,,,,,,,,,,
,,,,단가(원)* 입력란,,,P3,"단가(원) 입력값 노출됨 
 - 0과 양수만 입력 가능 (금액제한없음)
 - 표시 형식 : n,nnn",,,,,,,,,,,,,,,,,,
,,,,안전 재고* 입력란,,,P3," 안전 재고 입력값 노출됨
 - 0과 양수만 입력 가능
 - 표시 형식 : n,nnn",,,,,,,,,,,,,,,,,,
,,,,,스텝퍼 (ⴷ/V) 버튼,,P3,선택 횟수에 맞춰 수량 변경되며 스크롤도 수량 변경 가능함,,,,,,,,,,,,,,,,,,
,,,,자동 발주 수량* 입력란,,,P3,"자동 발주 수량 입력값 노출됨
 - 0과 양수만 입력 가능
 - 표시 형식 : n,nnn",,,,,,,,,,,,,,,,,,
,,,,,스텝퍼 (ⴷ/V) 버튼,,P3,선택 횟수에 맞춰 수량 변경되며 스크롤도 수량 변경 가능함,,,,,,,,,,,,,,,,,,
,,,,업체* 드롭다운 선택,,,자동화,"등록된 업체명 옵션 전체 노출됨
-업체 없음
-업체관리 화면에서 등록한 업체명 표시 (업체 01, 업체 02 등)",,,,,,,,,,,,,,,,,,
,,,,,검색,,P2,업체명 입력하여 검색됨,,,,,,,,,,,,,,,,,,
,,,,,옵션 선택,,자동화,선택한 업체로 반영되며 업체 담당자 연락처 Read Only 상태로 자동 반영됨,,,,,,,,,,,,,,,,,,
,,,,업체 담당자 연락처,,,P2,"업체 선택 시 Read Only 상태로 자동 반영됨
 - 업체 담당자, 업체 연락처",,,,,,,,,,,,,,,,,,
,,,[+ 제품 추가] 버튼 선택,,,,자동화,"제품 정보 입력 영역 추가됨
 - 타이틀 : 제품 nn",,,,,,,,,,,,,,,,,,
,,,,,,,P3,기존 등록되어있는 아코디언은 접힘상태로 변경됨,,,,,,,,,,,,,,,,,,
,,,[저장] 버튼 선택,필수 입력값 입력 전,,,P3,[저장] 버튼 비활성 상태로 노출됨,,,,,,,,,,,,,,,,,,
,,,,필수 입력값 모두 입력,,,P3,[저장] 버튼 활성 상태로 노출됨,,,,,,,,,,,,,,,,,,
,,,,,필수 입력값 일부 삭제,,P3,[저장] 버튼 비활성화 상태로 노출됨 ,,,,,,,,,,,,,,,,,,
,,,,,,필수 입력값 모두 입력,P3,[저장] 버튼 활성화 상태로 노출됨 ,,,,,,,,,,,,,,,,,,
,,,,,제품명+업체 정보가 중복인 제품이 있는 경우,,자동화,"중복 안내 토스트팝업 노출됨
 - 팝업 문구 : 이미 존재하는 제품명입니다.",,,,,,,,,,,,,,,,,,
,,,,,제품명+업체 정보가 중복인 제품이 없는 경우,1개 제품 추가,자동화,"제품 관리 화면으로 이동되며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ 제품 등록이 완료되었습니다.",,,,,,,,,,,,,,,,,,
,,,,,,n개 제품 추가,자동화,"제품 관리 화면으로 이동되며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ n개의 제품 등록이 완료되었습니다.",,,,,,,,,,,,,,,,,,
,,,,,,,자동화,제품 관리 목록에 추가됨,,,,,,,,,,,,,,,,,,
,,,,,,,자동화,재고 관리 목록에 추가됨,,,,,,,,,,,,,,,,,,
,,제품 수정,진입 후 변경 사항이 없는 경우,[뒤로가기 ←] 버튼 선택,,,P2,"제품 관리 화면으로 이동됨
-화면 내부/외부 뒤로가기 공통",,,,,,,,,,,,,,,,,,
,,,,페이지 이동,,,P3,선택한 화면으로 이동됨 ,,,,,,,,,,,,,,,,,,
,,,진입 후 변경 사항이 있는 경우,[뒤로가기 ←] 버튼 선택,,,P2,"변경 사항 저장 확인 Alert 노출됨
- 팝업 타이틀 : 변경 사항을 저장하지 않으시겠습니까?
- 팝업 문구 :이동 시, 수정한 내용이 저장되지 않습니다.
- 버튼 구성 : [취소] / [확인]",,,,,,,,,,,,,,,,,,
,,,,페이지 이동,,,P2,"변경 사항 저장 확인 Alert 노출됨
- 팝업 타이틀 : 변경 사항을 저장하지 않으시겠습니까?
- 팝업 문구 : 이동 시, 수정한 내용이 저장되지 않습니다.
- 버튼 구성 : [취소] / [확인]",,,,,,,,,,,,,,,,,,
,,,,변경 사항 저장 확인 Alert,[취소] 버튼 선택,,P1,변경 사항 저장 확인 Alert 닫히며 카테고리 관리 화면 유지됨 ,,,,,,,,,,,,,,,,,,
,,,,,[확인] 버튼 선택,,P1,추가/수정사항이 저장되지 않고 변경 사항 저장 확인 Alert 닫히며 화면 이동됨 ,,,,,,,,,,,,,,,,,,
,,,제품 정보 입력 영역,,,,P3,"Default : 제품 등록 시 입력한 제품 정보 노출됨,
아코디언 펼침 상태로 노출됨 ",,,,,,,,,,,,,,,,,,
,,,,아코디언 [∧/∨] 버튼 선택,,,P2,제품 정보 영역 접힘/펼쳐짐,,,,,,,,,,,,,,,,,,
,,,,타이틀 영역,,,P3,"타이틀과 안내문구 노출됨
 - 제품 등록 시 입력한 제품명 노출됨 
 - 안내문구 : '*표시는 필수 입력 항목입니다.'",,,,,,,,,,,,,,,,,,
,,,,안전 재고,,,P3,"재고를 포함한 안내문구 노출됨
 - 안내문구 : '재고(N개)가 안전 재고 이하일 시, 자동 발주됩니다.'",,,,,,,,,,,,,,,,,,
,,,,내용 수정,,,P2,모든 항목 수정 가능함 ,,,,,,,,,,,,,,,,,,
,,,[취소] 버튼 선택,,,,P1,제품 정보 변경되지 않고 제품 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,[완료] 버튼 선택,Default 입력값에서 변경된 내용이 없는 경우,,,P3,[완료] 버튼 비활성화 상태로 노출됨 ,,,,,,,,,,,,,,,,,,
,,,,Default 입력값에서 변경된 내용이 있는 경우, ,,P3,[완료] 버튼 활성화 상태로 노출됨 ,,,,,,,,,,,,,,,,,,
,,,,,제품명+업체 정보가 중복인 제품이 있는 경우,,자동화,"중복 안내 토스트팝업 노출됨
 - 팝업 문구 : 이미 존재하는 제품명입니다.",,,,,,,,,,,,,,,,,,
,,,,,제품명+업체 정보가 중복인 제품이 없는 경우,1개 제품 수정,자동화,"제품 관리 화면으로 이동되며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ 제품 수정이 완료되었습니다.",,,,,,,,,,,,,,,,,,
,,,,,,n개 제품 수정,자동화,"제품 관리 화면으로 이동되며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ n개의 제품 수정이 완료되었습니다.",,,,,,,,,,,,,,,,,,
,,,,,,,자동화,제품 관리 목록에서 해당 제품 수정사항 반영됨,,,,,,,,,,,,,,,,,,
,,,,,,,자동화,재고 관리 및 재고 관리 상세 화면에 반영됨,,,,,,,,,,,,,,,,,,
,,,,"현 재고 > 안전재고 인 제품
(재고가 더 많은상태)","안전 재고를 현 재고 수량 보다 많게 수정
(자동 발주)",단일 수정인 경우,P2,"자동 발주 확인 Alert 노출됨
- 팝업 타이틀 : 자동 발주를 진행하시겠습니까?
- 팝업 문구 : '자동 발주'는 즉시 발주되며, '수정만 저장'은 변경사항만 저장됩니다.
- 버튼 구성 : [수정만 저장] / [자동 발주]",,,,,,,,,,,,,,,,,,
,,,,,,일괄 수정인 경우,P2,"자동 발주 확인 Alert 노출됨
- 팝업 타이틀 : 일괄 수정 상태인 경우 : ""N건의 자동 발주를 진행하시겠습니까?""
- 팝업 문구 : '자동 발주'는 즉시 발주되며, '수정만 저장'은 변경사항만 저장됩니다.
- 버튼 구성 : [수정만 저장] / [자동 발주]",,,,,,,,,,,,,,,,,,
,,,,,,[수정만 저장] 버튼 선택,P2,"자동 발주는 진행되지 않고 제품 정보만 수정되며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ 제품 수정이 완료되었습니다. ",,,,,,,,,,,,,,,,,,
,,,,,,,P1,제품 관리 목록에서 해당 제품 수정사항 반영됨,,,,,,,,,,,,,,,,,,
,,,,,,[자동 발주] 버튼 선택,P1,"자동 발주 확인 Alert 닫히며 토스트팝업 노출됨 
 - 팝업 문구 : ✓ 제품 수정이 완료되었습니다. ",,,,,,,,,,,,,,,,,,
,,,,,,,P1,제품 관리 목록에서 해당 제품 수정사항 반영됨,,,,,,,,,,,,,,,,,,
,,,,,,,P3,발주 내역 화면에서 내역 추가됨,,,,,,,,,,,,,,,,,,
,,,,,,,P1,"병원 담당자에게 발주 안내 알림톡 발송됨
 - 해당 제품 정보, 자동 발주 수량 포함",,,,,,,,,,,,,,,,,,
,,,,,,,P1,"발주처 담당자에게 발주 요청 알림톡 발송됨
 - 해당 제품 정보, 자동 발주 수량 포함",,,,,,,,,,,,,,,,,,
,카테고리 관리,"간편 메뉴
(최상단 헤더)",[제품] 선택,[카테고리 관리] 선택,,,P2,카테고리 관리 화면 진입됨,,,,,,,,,,,,,,,,,,
,,상단 탭영역,,,,,P3,"구분, 종류, 제조사 영역이 탭으로 구분되어 노출됨 
 - Default : 구분 영역 노출됨 ",,,,,,,,,,,,,,,,,,
,,기존에 등록된 옵션이 있는 경우,,,,,P3,영역 별로 등록된 옵션 노출 유지됨,,,,,,,,,,,,,,,,,,
,,각 카테고리 탭 선택,,,,,자동화,"선택한 카테고리 탭 화면 노출됨 
-탭별 타이틀 : 구분 / 종류 / 제조사
-안내문구 : '*표시는 필수 입력 항목입니다.'",,,,,,,,,,,,,,,,,,
,,구분 탭 선택,필수 입력값,,,,P3,"구분명, 구분명(영문) 필수 입력값 표시 노출됨 ",,,,,,,,,,,,,,,,,,
,,,[+ 구분 추가] 버튼 선택,,,,자동화,"구분명, 구분명(영문) 입력 필드 추가됨",,,,,,,,,,,,,,,,,,
,,,구분명* 입력란,,,,P3,"구분명 필수 입력값으로 노출됨
 - 입력값에 제약 없으며 1자 ~ 100자 글자수 허용",,,,,,,,,,,,,,,,,,
,,,구분명(영문)* 입력란,,,,P3,"구분명(영문) 필수 입력값으로 노출됨
 - 영문, 숫자, 특수문자 입력 가능하며 1자 ~ 100자 글자수 허용",,,,,,,,,,,,,,,,,,
,,,[X] 버튼 선택,사용 중인 옵션인 경우,,,자동화,"토스트팝업 노출됨
 - 팝업 문구 : ! 해당 구분은 사용 중입니다.",,,,,,,,,,,,,,,,,,
