,,,,,,,,,,,,,,,,,,,,,,,,,,
[Centurion] 온보딩 TestCase ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Priority,,,,,,,,,,,,,,,,,,,
JIRA 컴포넌트,1 Depth,2 Depth,3 Depth,4 Depth,5 Depth,6 Depth,Priority,Expected Result,,,,,,비고,,,,,,,,,,,,
,,,,,,,,,Result,담당자,Date,Test Version,BTS ID,,,,,,,,,,,,,
기타,Web 진입,,,,,,P1,"비로그인 상태로 Centurion SSO 로그인 화면 노출됨
(URL  내 service=bay)",,,,,,,,,,,,,,,,,,
,"Centurion 
SSO 로그인 화면",비로그인 상태,지점 선택 드롭다운,가이드 문구,,,P3,"""지점 선택"" 노출됨",NA,,,,,복수 지점 데이터 필요,,,,,,,,,,,,
,,,,드롭다운 Tap,,,P2,"드롭다운 리스트 노출되며, 등록된 지점 리스트 모두 노출됨",NA,,,,,복수 지점 데이터 필요,,,,,,,,,,,,
,,,,,리스트 선택,,P1,선택한 지점 입력 상태로 노출됨,NA,,,,,복수 지점 데이터 필요,,,,,,,,,,,,
,,,이메일 입력 필드,가이드 문구,,,P3,"""이메일"" 노출됨",,,,,,,,,,,,,,,,,,
,,,,텍스트 입력,,,자동화,입력한 텍스트 노출됨,,,,,,,,,,,,,,,,,,
,,,,,[x] 버튼 Tap,,P3,입력한 텍스트 지워지고 가이드 문구 노출됨,,,,,,,,,,,,,,,,,,
,,,비밀번호 입력 필드,가이드 문구,,,P3,"""비밀번호"" 노출됨",,,,,,,,,,,,,,,,,,
,,,,텍스트 입력,,,자동화,입력한 텍스트 마스킹 처리되어 노출됨,,,,,,,,,,,,,,,,,,
,,,,,가리기/보이기 버튼,Default,P3,"가리기 상태로 노출되며, 비밀번호 마스킹 처리되어 노출됨",,,,,,,,,,,,,,,,,,
,,,,,,Tap,P2,"보이기 상태로 전환되며, 비밀번호 마스킹 해제되어 노출됨",,,,,,,,,,,,,,,,,,
,,,[로그인] 버튼,이메일 / 비밀번호 미입력 상태,,,자동화,비활성화 상태로 노출됨,,,,,,,,,,,,,,,,,,
,,,,이메일 / 비밀번호 모두 입력 상태,,,자동화,활성화 상태로 노출됨,,,,,,,,,,,,,,,,,,
,,,,,버튼 Tap,이메일/비밀번호 불일치,자동화,"""이메일 또는 비밀번호가 일치하지 않습니다."" 문구 노출됨",,,,,,,,,,,,,,,,,,
,,,,,,이메일/비밀번호 일치,자동화,제품 > 제품 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,로그인 상태,헤더,centurionbay 로고,,,P3,centurionbay 로고 이미지 노출됨,,,,,,,,,,,,,,,,,,
,,,,,Tap,,P2,제품 > 제품 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,메뉴 영역 ,[제품] 메뉴,Tap,P1,제품 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,,[제품 관리] 메뉴 Tap,P1,제품 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,,[카테고리 관리] 메뉴 Tap,P1,카테고리 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,,[발주처 관리] 메뉴 Tap,P1,발주처 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,[발주] 메뉴,Tap,P1,발주 내역 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,,[발주 내역 관리] 메뉴 Tap,P1,발주 내역 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,[재고] 메뉴,Tap,P1,재고 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,,[재고 관리] 메뉴 Tap,P1,재고 관리 화면으로 이동됨,,,,,,,,,,,,,,,,,,
,,,,,[배송] 메뉴,Tap,P1,배송 관리 화면으로 이동됨,NA,,,,,Spec 제외,,,,,,,,,,,,
,,,,,,[배송 관리] 메뉴 Tap,P1,배송 관리 화면으로 이동됨,NA,,,,,,,,,,,,,,,,,
,,,,,Hover,,P3,메뉴영역  회색으로 변경되며 사이드 메뉴 노출됨,,,,,,,,,,,,,,,,,,
,,,,,임의의 메뉴영역 Tap,,P2,하위메뉴 중 첫번째 메뉴로 선택됨,,,,,,,,,,,,,,,,,,
,,,,,,하위메뉴 Hover,P3,메뉴영역+하위메뉴 모두 색상 연한 파란색으로 변경됨,,,,,,,,,,,,,,,,,,
,,,,로그인 정보 영역,,,P3,"- 현재 시간 미노출됨
- [아이콘] 병원명 노출됨
- 로그인한 {직원명}님 반갑습니다. 문구 노출됨 (타 지점간 이동불가/드롭다운 없음)",,,,,,,,,,,,,,,,,,
,,,,[로그아웃] 버튼,Default,,P3,텍스트 색상 회색으로 노출됨,,,,,,,,,,,,,,,,,,
,,,,,Hover,,P3,텍스트 색상변경없음,,,,,,,,,,,,,,,,,,
,,,,,Tap,,P1,"로그아웃 팝업 노출됨
- 팝업 타이틀 : 로그아웃 하시겠습니까?
- 팝업 문구 : 로그아웃 시 현재 서비스가 종료됩니다.
- 버튼 영역 : [취소] / [확인]",,,,,,,,,,,,,,,,,,
,,,,,로그아웃 팝업,[취소] 버튼 Tap,P2,"팝업 닫히며, 로그인 상태 유지됨",,,,,,,,,,,,,,,,,,
,,,,,,[확인] 버튼 Tap,P1,"Centurion SSO 로그인 화면으로 이동되며, 토스트 팝업 노출됨
- 토스트 팝업 문구: 로그아웃이 완료되었습니다.",,,,,,,,,,,,,,,,,,
,,Footer,메디솔브에이아이(주) 회사 정보,,,,P3,"회사명, 사업자등록번호, 대표자명, 주소, 이메일, 카피라이트
-회사명 : 메디솔브에이아이(주)
-사업자등록번호 : 463-88-03550
-대표자명 : 최우영, 이재민
-주소 : 서울특별시 강남구 테헤란로 13길 12, 4층
이메일 : info@medisolveai.com
카피라이트 : © 2025 Medi Solve Ai Inc. All Rights Reserved.",,,,,,,,,,,,,,,,,,
,,,버전 표기,,,,P3,"회사명 우측에 버전 노출됨
 - 표시 형식 : v1.0.0-rc.1",,,,,,,,,,,,,,,,,,
,,로그인 세션 만료,"24시간 유지
(Refresh Token)
-Stage : 10분으로 설정",화면 내 변경정보 없는 경우,,,P3,"Centurion SSO 로그인 화면으로 이동되며, 토스트 팝업 노출됨
- 토스트 문구 : 세션이 만료되었습니다.",,,,,,,,,,,,,,,,,,
,,공통 에러,,,,,P2,"Centurion Bay 서비스 접속불가 화면 노출됨
-문구 : 서비스 접속이 원활하지 않습니다 현재 서버 문제로 인해 서비스 이용이 원활하지 않습니다. 
불편을 드린 점 사과드리며 신속히 해결 중입니다. 잠시 후 다시 이용해 주세요.
-버튼구성 : [이전 화면으로 돌아가기]",,,,,,,,,,,,,,,,,,
,,,[이전 화면으로 돌아가기] 버튼 Tap,,,,P2,에러 발생 이전 화면으로 이동됨 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
